billed_entity_id,billed_entity_number,billed_entity_name,billed_entity_city,billed_entity_state,billed_entity_zip_code,billed_entity_zip_code_ext,billed_entity_email,billed_entity_phone,billed_entity_phone_ext
19,231753,RIVER BEND YOUTH CORRECTIONS FACILITY,LA GRANDE,OR,97850,5347,erate@imesd.k12.or.us,541-663-8801,
20,17035137,InterMountain Education Service District,PENDLETON,OR,97801,4416,,541-966-3221,
21,130724,CLINTON PUBLIC LIBRARY,CLINTON,IN,47842,2306,,765-832-8349,
22,16075726,Familes and Communities Rising,CHAPEL HILL,NC,27514,,,919-490-5577,
23,59461,ZION ST JOHN SCHOOL,PAULLINA,IA,51046,,jkirkeby@zsjfalcons.org,712-949-3915,
24,120117,LENOX PUBLIC SCHOOL DISTRICT,LENOX,MA,01240,,,413-637-5550,
25,16077587,CHATTANOOGA CHARTER SCHOOL OF EXCELLENCE,CHATTANOOGA,TN,37411,,,423-710-1121,
26,16067219,CHEROKEE CENTRAL SCHOOL DISTRICT,CHEROKEE,NC,28719,,carmen.davis@ccs-nc.org,828-554-5051,
27,143782,TUSTIN UNIF SCHOOL DISTRICT,TUSTIN,CA,92780,3633,ddsmith@tustin.k12.ca.us,714-730-7301,
28,123856,WESTBURY UNION FREE SCHOOL DISTRICT,WESTBURY,NY,11568,1624,,516-876-5016,
29,139892,DUNCAN INDEP SCHOOL DISTRICT,DUNCAN,OK,73533,,,580-255-0686,
30,143212,MOHAVE COUNTY LIBRARY DISTRICT,KINGMAN,AZ,86409,,libraryhelp@mohave.gov,928-692-5744,5744
31,131783,LAKE LINDEN-HUBBELL SCH DIST,LAKE LINDEN,MI,49945,1002,,906-296-6211,
32,17022941,TEACH Public Schools,Los Angeles,CA,90047,,erate@teachps.org,323-872-0808,
33,123919,THREE VILLAGE CENTRAL SCH DIST,STONY BROOK,NY,11790,,,631-730-4040,
34,121009,KEARSARGE REG SCHOOL DISTRICT,NEW LONDON,NH,03257,4555,lleboeuf@kearsarge.org,603-526-2051,
35,124207,GERMANTOWN CENTRAL SCHOOL DISTRICT,GERMANTOWN,NY,12526,,dbizzarro@germantowncsd.org,518-537-6281,2307
36,126763,TAYLOR COUNTY SCHOOL DISTRICT,GRAFTON,WV,26354,,,304-265-2497,
37,126445,KING GEORGE COUNTY SCHOOLS,KING GEORGE,VA,22485,,,540-775-5833,
38,140175,CROWDER PUBLIC SCHOOL,Crowder,OK,74430,0002,rflorenzano@crowder.k12.ok.us,918-334-3203,
39,127412,MCDUFFIE COUNTY SCHOOL DIST,THOMSON,GA,30824,,tamw@mcduffie.k12.ga.us,706-986-4033,
40,126865,PERSON COUNTY SCHOOL DISTRICT,ROXBORO,NC,27573,5245,,336-599-2191,
41,195133,CLINTON MACOMB PUBLIC LIBRARY,CLINTON TWNSP,MI,48038,,,586-226-5017,
42,126467,RAPPAHANNOCK COUNTY LIBRARY,WASHINGTON,VA,22747,1925,amandawrcpl@gmail.com,540-675-3780,
43,112786,HANALANI SCHOOLS,MILILANI,HI,96789,2525,domen@hanalani.org,808-625-0737,
44,124287,QUEENSBURY UNION FREE DISTRICT,QUEENSBURY,NY,12804,2914,,518-793-8811,
45,17016322,Central Christian Academy,INDIANAPOLIS,IN,46203,,,317-788-1587,
46,133458,APPLETON PUBLIC LIBRARY,APPLETON,WI,54911,4717,,920-832-6170,
47,133956,PEQUOT LAKES SCHOOL DIST 186,PEQUOT LAKES,MN,56472,,hhagen@isd186.org,218-568-4996,
48,133558,SAINT PAUL PUBLIC SCHOOL DISTRICT 625,SAINT PAUL,MN,55108,,communications@spps.org,651-603-4355,
49,144145,SOUTH SAN FRANCISCO UNIF S D,S SAN FRAN,CA,94080,4423,jsiam@ssfusd.org,650-877-5230,
50,139899,GERONIMO INDEP SCHOOL DIST 4,GERONIMO,OK,73543,,BPASCOE@GERONIMO.K12.OK.US,580-355-3801,
51,123873,VALLEY STREAM UN FREE DIST 24,VALLEY STREAM,NY,11581,1420,,516-256-0153,
52,134226,NORTHWESTERN AREA SCHOOL DISTRICT 56-7,MELLETTE,SD,57461,0045,LISA.FRERICKS@K12.SD.US,605-887-3467,114
53,139895,ELGIN INDEP SCHOOL DISTRICT 16,ELGIN,OK,73538,,brooke@elginps.net,580-492-3667,
54,126464,CULPEPER  COUNTY LIBRARY,CULPEPER,VA,22701,3833,ndelaney@cclva.org,540-825-8691,
55,16072325,"WORKFORCE ADVANTAGE ACADEMY, INC",ORLANDO,FL,32805,,,407-898-7228,
56,142088,Alpine Public Library,ALPINE,TX,79830,4615,director@alpinepubliclibrary.org,432-837-2621,5
57,129584,MAHONING COUNTY J V S D,CANFIELD,OH,44406,9710,chris.stewart@mahoningctc.com,330-729-4000,1181
58,127841,HENDRY COUNTY SCHOOL DISTRICT,LABELLE,FL,33935,,,863-674-4559,
59,98840,LUKACHUKAI COMMUNITY SCHOOL,LUKACHUKAI,AZ,86507,,ryan.lee@lukaschool.org,928-291-0008,
60,144276,SANTA CRUZ CO OFFICE OF EDUC,SANTA CRUZ.,CA,95060,,erate@adtechgroup.com,831-466-5800,
61,144425,JEFFERSON ELEM SCHOOL DISTRICT,TRACY,CA,95377,,,209-836-3388,
62,142429,MONTROSE LIBRARY DISTRICT,MONTROSE,CO,81401,3909,ppaladino@montroselibrary.org,970-249-9656,
63,141065,KILLEEN INDEP SCHOOL DISTRICT,KILLEEN,TX,76543,4025,megan.bradley@killeenisd.org,254-336-8324,
64,8307,GILL ST. BERNARD SCHOOL,GLADSTONE,NJ,07934,,jteichman@gsbschool.org,908-234-1611,
65,16077197,CITY OF MCALLEN,MCALLEN,TX,78501,5002,khoran@mcallen.net,956-681-3111,
66,128681,George County School District,Lucedale,MS,39452,,natasha.henderson@gcsd.us,601-947-6993,2078
67,127671,SEMINOLE COUNTY SCHOOL DIST,SANFORD,FL,32771,,,407-320-0000,
68,143714,BARSTOW UNIFIED SCHOOL DIST,BARSTOW,CA,92311,2500,,760-255-6000,
69,123965,ROCKY POINT UNION FREE DIST,ROCKY POINT,NY,11778,8422,,631-744-1600,
70,120217,LUNENBURG SCHOOL DISTRICT,LUNENBURG,MA,01462,1432,,978-582-4100,
71,139978,OKEENE INDEP SCHOOL DISTRICT 9,OKEENE,OK,73763,0409,,580-822-3268,
72,17018894,Eastland Centennial Memorial Library,Eastland,TX,76448,,ecmlibrary01@gmail.com,254-629-2281,
73,143385,SANTA ROSA CONSOLIDATED SCHOOLS,SANTA ROSA,NM,88435,2325,,575-472-3171,
74,17036126,SunCoast California,ORANGE,CA,92868,2903,adam.erate.SunCoast@accelschools.com,404-886-1840,
75,17036129,Virtual Preparatory Academy of Utah,LEHI,UT,84043,5023,adam.erate@VPrepUT.org,404-886-1840,
76,17036130,Virtual Preparatory Academy of Virginia,MC LEAN,VA,22102,4220,adam.erate.VPrepVA@accelschools.com,404-886-1840,
77,17036854,Arizona Preparatory Academy,PHOENIX,AZ,85004,2750,,404-886-1840,
78,17036855,California Preparatory Academy,SAN JOSE,CA,95131,1035,,404-886-1840,
79,17036862,Virtual Preparatory Academy California,NEWPORT BEACH,CA,92660,2941,,404-886-1840,
80,17036863,Virtual Preparatory Academy Colorado,COLORADO SPRINGS,CO,80909,5314,,404-886-1840,
81,17036866,Virtual Preparatory Academy of Tennessee,BRENTWOOD,TN,37027,8019,,404-886-1840,
82,17036861,Virtual Preparatory Academy Alabama,BIRMINGHAM,AL,35203,5200,,404-886-1840,
83,17036124,Nevada Virtual Charter School,LAS VEGAS,NV,89145,5721,adam.erate@nvvirtual.org,404-886-1840,
84,16081094,Monument Academy Public Charter School,WASHINGTON,DC,20002,,,202-357-7878,
85,123975,SYOSSET CENTRAL SCHOOL DIST,SYOSSET,NY,11791,9029,cpayne@syossetschools.org,516-837-8960,
86,145218,FERNDALE SCHOOL DISTRICT 502,FERNDALE,WA,98248,,,360-383-9200,
87,96068,COEUR D'ALENE TRIBAL SCHOOL,DESMET,ID,83824,,cluke@tribalschool.org,208-686-5808,
88,142822,SALT LAKE CITY PUBLIC LIBRARY SYSTEM,SALT LAKE CITY,UT,84111,3203,,801-524-8200,
89,144190,ALAMEDA COUNTY LIBRARY,FREMONT,CA,94538,2326,,510-745-1500,
90,219830,THE RENAISSANCE ACADEMY,PHOENIXVILLE,PA,19460,3003,maurice.moon@rak12.org,610-983-4080,7304
91,17036128,Virtual Preparatory Academy of New Mexico,Albuquerque,NM,87102,,adam.erate.VPrepNM@accelschools.com,404-886-1840,
92,17036865,Virtual Preparatory Academy of Texas,DALLAS,TX,75206,4026,,404-886-1840,
93,17036856,Idaho Preparatory Academy,BOISE,ID,83705,4762,,404-886-1840,
94,132931,CAMBRIDGE SCHOOL DISTRICT,CAMBRIDGE,WI,53523,,,608-423-4345,
95,66536,LITTLE WOUND DAY SCHOOL,KYLE,SD,57752,0500,drooks@littlewound.us,605-455-6155,
96,130726,NORTHEAST SCHOOL CORPORATION,Shelburn,IN,47879,,,812-397-5390,
97,145626,FAIRBANKS-N STAR BOROUGH LIB,FAIRBANKS,AK,99701,4313,bwehner@fnsb.gov,907-459-1022,
98,140216,WAGONER CITY PUBLIC LIBRARY,WAGONER,OK,74467,,libraryjanie@yahoo.com,918-485-2126,
99,137511,SHELL KNOB SCHOOL DIST 78,SHELL KNOB,MO,65747,,,417-858-6743,
100,127315,PIKE COUNTY SCHOOL DISTRICT,Zebulon,GA,30295,,hendrixr@pike.k12.ga.us,770-567-8489,1196
101,143356,JAL PUBLIC SCHOOLS,JAL,NM,88252,1386,,575-395-2379,
102,141566,BENAVIDES INDEP SCH DISTRICT,BENAVIDES,TX,78341,,,361-256-3007,
103,139232,TERREBONNE PARISH SCH DISTRICT,HOUMA,LA,70360,,,985-876-7400,
104,142896,ARIZONA STATE DEPT OF EDUC,PHOENIX,AZ,85007,3209,milan.eaton@azed.gov,623-332-6357,
105,17021188,Olive Grove Charter School District,Santa Maria,CA,93455,,,805-623-1111,
106,144681,WILLIAMS UNIFIED SCHOOL DISTRICT,WILLIAMS,CA,95987,,erate@adtechgroup.com,530-473-2550,
107,17000344,Lincoln Intermediate Unit 12 - LLN,New Oxford,PA,17350,,hgkirchner@iu12.org,717-624-4616,
108,17022359,Illinois Department of Innovation and Technology Consortium,Springfield,IL,62702,,,217-557-6527,
109,136517,CAMP POINT COMMUNITY UNIT SCHOOL DISTRICT 3,CAMP POINT,IL,62320,9801,,217-593-7116,
110,144627,PIERCE JOINT UNIF SCH DISTRICT,ARBUCKLE,CA,95912,,erate@adtechgroup.com,530-476-2892,
111,144635,COLUSA CO OFFICE OF EDUCATION,COLUSA,CA,95932,2432,erate@adtechgroup.com,530-458-0350,
112,144633,COLUSA UNIFIED SCHOOL DISTRICT,COLUSA,CA,95932,2220,erate@adtechgroup.com,530-458-7791,14119
113,144659,NEVADA COUNTY SUPERINTENDENT OF SCHOOLS,Grass Valley,CA,95945,9089,erate@adtechgroup.com,530-478-6400,2019
114,127033,CRAVEN-PAMLICO RG LIB,NEW BERN,NC,28560,4048,kat.clowers@cpcrl.org,252-638-7800,
115,141234,SPRING BRANCH ISD,HOUSTON,TX,77024,,kimberly.greer@springbranchisd.com,713-464-1511,2312
116,121928,BURLINGTON SUPERVISORY DIST 15,BURLINGTON,VT,05401,1422,mkeenan@bsdvt.org,802-864-8434,
117,126376,BALTIMORE CITY SCHOOL DISTRICT,BALTIMORE,MD,21202,,,443-984-1125,
118,16074731,KENNER DISCOVERY HEALTH SCIENCES ACADEMY,METAIRIE,LA,70003,5445,amy.gray@discoveryhsf.org,504-233-4720,
119,130257,MOORESVILLE PUBLIC LIBRARY,MOORESVILLE,IN,46158,1633,,317-831-7323,
120,17020733,"Memphis Merit Academy, Inc.",MEMPHIS,TN,38118,2412,lbooker@memphismeritacademy.org,901-930-7032,
121,139263,ST MARTIN PARISH LIBRARY,ST MARTINVLLE,LA,70582,,cbrew@state.lib.la.us,337-394-2207,
122,145127,MORROW COUNTY SCHOOL DIST 1,HEPPNER,OR,97836,,matt.combe@morrow.k12.or.us,541-676-9128,
123,134238,SOUTH DAKOTA STATE DEPT OF ED,PIERRE,SD,57501,2291,unknown@unknown.com,605-773-3134,
124,16039865,FRIENDSHIP PUBLIC CHARTER SCHOOLS,WASHINGTON,DC,20001,,,202-281-1790,
125,127445,HOUSTON COUNTY PUBLIC LIBRARY,PERRY,GA,31069,,jspaulk@houpl.org,478-987-3050,5
126,123697,MOUNT PLEASANT-BLYTHEDALE DIST,VALHALLA,NY,10595,1637,,914-347-1800,
127,232150,AVOYELLES PUBLIC CHARTER SCHOOL,MANSURA,LA,71350,,,318-240-8285,
128,136530,COMMUNITY UNIT SCHOOL DIST 4,MENDON,IL,62351,,,217-936-2111,
129,17012845,"BENS FORD CHRISTIAN SCHOOL, INC",BOGALUSA,LA,70427,0731,,985-735-0382,
130,140123,TULSA INDEP SCHOOL DISTRICT 1,TULSA,OK,74114,,,918-746-6800,
131,16076052,EDUCATION EXPLOSION INC.,BAKER,LA,70714,,Hank@eratesupport.org,224-224-2786,
132,126971,PUBLIC LIBRARY OF CHARLOTTE/MECKLENBURG COUNTY,CHARLOTTE,NC,28208,2139,BSSABFM@MecklenburgCountyNC.gov,980-314-2138,
133,122616,GREENWICH PUBLIC SCHOOLS,GREENWICH,CT,06830,6508,,203-625-7400,
134,144655,MAXWELL UNIFIED SCHOOL DISTRICT,MAXWELL,CA,95955,,,530-438-2291,
135,43913,CENTREVILLE ACADEMY,CENTREVILLE,MS,39631,4188,dlemoine@centervilleacademy.org,601-645-5940,
136,81070,FALSE RIVER ACADEMY,NEW ROADS,LA,70760,2652,linda.damico@falseriveracademy.org,504-638-3783,
137,80195,FANNIE C. WILLIAMS CHARTER SCHOOL,NEW ORLEANS,LA,70128,3454,,504-243-5809,
138,17027243,Magic City Acceptance Academy,HOMEWOOD,AL,35209,3703,,205-903-1187,
139,16075362,ST. KATHARINE DREXEL PREPARATORY HIGH SCHOOL,NEW ORLEANS,LA,70015,,cwilliams@drexelprep.com,504-899-6061,
140,16037922,NATIONAL WWII MUSEUM TEACHER RESOURCE LIBRARY,NEW ORLEANS,LA,70130,3813,Hank@eratesupport.org,504-527-6012,
141,17027932,The MAX Charter School,Thibodaux,LA,70301,,,985-227-9500,
142,98841,PINON COMMUNITY SCHOOL,PINON,AZ,86510,,sheldon.gilmore@pcswarriors.com,928-725-3234,
143,129819,MIDDLETOWN CITY SCHOOLS,MIDDLETOWN,OH,45042,4364,,513-423-0781,
144,145091,CROOK COUNTY UNIT SCHOOL DISTRICT,PRINEVILLE,OR,97754,,anna.logan@crookcountyschools.org,541-447-5666,
145,140444,CARROLLTON-FARMERS BR SCH DIST,CARROLLTON,TX,75006,,,972-968-6100,
146,139920,CLINTON INDEP SCHOOL DIST 99,CLINTON,OK,73601,,,580-323-1800,
147,143253,ALBUQUERQUE SCHOOL DISTRICT,ALBUQUERQUE,NM,87125,0704,,505-830-8040,
148,81293,LOUISIANA SCHOOL FOR THE DEAF,BATON ROUGE,LA,70820,,rgayle@lsdvi.org,225-757-3342,
149,138122,BREWSTER USD 314,BREWSTER,KS,67732,,tarra.baumfalk@usd314.com,785-694-2236,
150,141327,DAYTON INDEPENDENT SCHOOL DISTRICT,DAYTON,TX,77535,,,936-258-2667,
151,137999,NORTH OTTAWA COUNTY USD 239,MINNEAPOLIS,KS,67467,,eclaybaugh@usd239.org,785-392-2167,
152,139861,MARIETTA INDEP SCH DISTRICT 16,MARIETTA,OK,73448,,,580-276-9444,
153,129488,SHAKER HEIGHTS CITY SCH DIST,SHAKER HEIGHTS,OH,44120,2529,,216-295-1400,
154,141139,WACO INDEP SCHOOL DISTRICT,WACO,TX,76701,,sheryl.davis@wacoisd.org,254-755-9504,
155,138073,HAYS USD 489,HAYS,KS,67601,3812,ssummers@usd489.com,785-623-2400,
156,144376,KEYES UNION SCHOOL DISTRICT,KEYES,CA,95328,,,209-669-2921,
157,137776,PEABODY-BURNS USD 398,PEABODY,KS,66866,,,620-983-2198,
158,137965,TWIN VALLEY USD 240,BENNINGTON,KS,67422,,leverhart@usd240.org,785-488-3325,
159,126360,Montgomery County Public Schools,ROCKVILLE,MD,20850,,erate@mcpsmd.org,240-740-2900,
160,131178,BATH COMMUNITY SCHOOLS,BATH,MI,48808,,rcook@bathschools.net,517-641-6721,
161,132980,MOUNT HOREB AREA SCHOOL DIST,MOUNT HOREB,WI,53572,2010,brueggemanwilliam@mhasd.k12.wi.us,608-437-7020,
162,221860,NA WAI OLA,Mt. View,HI,96771,1539,msambueno@nawaiolapcs.org,808-968-2318,
163,130543,GREATER CLARK CO SCH DISTRICT,JEFFERSONVILLE,IN,47130,6010,,812-283-0701,
164,81294,LA SCHOOL FOR VISUALLY IMPAIRED,BATON ROUGE,LA,70820,,deller@lsdvi.org,225-757-3343,
165,145171,AUBURN SCHOOL DISTRICT 408,AUBURN,WA,98002,4452,,253-931-4900,
166,145153,BURNT RIVER SCHOOL DIST 30 J,UNITY,OR,97884,,deb.gregg@burntriver.k12.or.us,541-446-3466,
167,145141,NORTH POWDER SCHOOL DIST 8 J,NORTH POWDER,OR,97867,,ldixon@npowder.k12.or.us,541-898-2244,
168,145151,UNION SCHOOL DISTRICT 5,UNION,OR,97883,,carter.wells@union.k12.or.us,541-562-6115,
169,144903,WARRENTON-HAMMOND SCH DIST 30,WARRENTON,OR,97146,9745,,503-861-2281,
170,140124,TULSA TECHNOLOGY CENTER,TULSA,OK,74145,,erate@tulsatech.edu,918-828-5000,
171,16060962,INTERMOUNTAIN ESD,PENDLETON,OR,97801,,melinda.miller@imesd.k12.or.us,541-966-3221,
172,17026329,Flex High School of Cleveland,Richmond Heights,OH,44143,,,661-272-1225,
173,17026027,CONCORDIA CHRISTIAN DAY SCHOOL,CONOVER,NC,28613,1918,dberinger@concordianc.org,828-464-3011,
174,226902,IDALIA SCHOOL DISTRICT RJ3,IDALIA,CO,80735,,ihsbusiness@gmail.com,970-354-7298,
175,17002403,Sonoran Science Academy Peoria,PEORIA,AZ,85382,3019,,480-940-5440,
176,126301,DELAWARE DIVISION OF LIBRARIES,DOVER,DE,19901,,accounting@lib.de.us,302-257-3004,
177,129806,FAIRFIELD CITY SCHOOL DISTRICT,FAIRFIELD,OH,45014,,mckinney_j@fairfieldcityschools.com,513-858-7147,
178,129893,WEST CLERMONT LOCAL SCH DIST,CINCINNATI,OH,45245,1054,,513-943-5000,
179,130590,EAST CENTRAL ESC,CONNERSVILLE,IN,47331,,lwilliams@ecesc.k12.in.us,765-825-1247,
180,127425,Dublin City Schools,Dublin,GA,31021,,erate@dcsirish.com,478-353-8000,
181,141465,MEDINA VALLEY INDEP SCH DIST,CASTROVILLE,TX,78009,5309,,830-931-2243,
182,153062,State of Delaware-DTI,Dover,DE,19904,,mark.cabry@state.de.us,302-739-9649,
183,17000299,PA State PEPPM Consortium (Central Susquehanna Intermediate Unit),Milton,PA,17847,,jtschell@comcast.net,570-523-1155,
184,17024668,Detroit Public Library System,Detroit,MI,48202,4007,,313-481-1300,
185,126722,BROOKE COUNTY SCHOOL DISTRICT,WELLSBURG,WV,26070,1344,rlbrown@k12.wv.us,304-527-1410,5568
186,131539,GARY BYKER MEMORIAL LIBRARY,HUDSONVILLE,MI,49426,1132,mhuisman@hudsonville.org,616-669-1255,
187,140044,BROKEN ARROW SCHOOL DISTRICT 3,BROKEN ARROW,OK,74012,,agbowser@baschools.org,918-259-7445,
188,126529,NORFOLK PUBLIC LIBRARY SYSTEM,NORFOLK,VA,23502,2043,,757-664-7328,
189,145078,HARNEY COUNTY SCHOOL DIST 3,BURNS,OR,97720,,paulatoney@hcsd3.k12.or.us,541-573-6811,
190,147834,CITY OF HAMPTON CO HAMPTON PUBLIC LIBRARY,HAMPTON,VA,23669,,,757-727-1312,
191,140461,GARLAND INDEP SCHOOL DISTRICT,GARLAND,TX,75040,,rneal@vstservices.com,972-494-8201,
192,126766,BARBOUR COUNTY SCHOOL DISTRICT,PHILIPPI,WV,26416,,,304-457-3030,1021
193,126773,DODDRIDGE COUNTY SCHOOL DIST,WEST UNION,WV,26456,,dmmccull@k12.wv.us,304-873-2300,0011
194,130537,HARRISON COUNTY PUBLIC LIBRARY,CORYDON,IN,47112,1101,,812-738-4110,
195,131132,WEST BRANCH DISTRICT LIBRARY,WEST BRANCH,MI,48661,1217,jsheridanwbdlibrary@gmail.com,989-345-2235,
196,141561,Alicia Salinas Public Library,ALICE,TX,78332,4798,jbertuca@cityofalice.org,361-664-9506,
197,140535,BALCH SPRINGS LIBRARY,BALCH SPRINGS,TX,75180,,,972-913-3000,
198,141461,BANDERA COUNTY LIBRARY,BANDERA,TX,78003,,,830-796-4213,
199,17017613,Cameron-J. Jarvis Troup Municipal Library,TROUP,TX,75789,2020,tlibrary@trouptx.com,903-842-3101,
200,17017325,City of Sinton,Sinton,TX,78387,,,361-364-2381,
201,141006,COMANCHE PUBLIC LIBRARY,COMANCHE,TX,76442,2405,comanchepl@verizon.net,325-356-2122,
202,141052,COPPERAS COVE PUBLIC LIBRARY,COPPERAS COVE,TX,76522,2917,,254-547-3826,
203,141008,CROSS PLAINS PUBLIC LIBRARY,CROSS PLAINS,TX,76443,,cppubliclibrary79@gmail.com,254-725-7722,
204,141105,Hewitt Public Library,HEWITT,TX,76643,,mglaser@cityofhewitt.com,254-666-2442,
205,16073049,HUGHES SPRINGS AREA PUBLIC LIBRARY,HUGHES SPRINGS,TX,75656,,info@hsalibrary.org,903-639-1332,
206,140813,KIRBYVILLE PUBLIC LIBRARY,KIRBYVILLE,TX,75956,,,409-423-4653,
207,140935,KRUM PUBLIC LIBRARY,KRUM,TX,76249,,dpierce@krumlibrary.org,940-482-3455,
208,140868,MANSFIELD PUBLIC LIBRARY,MANSFIELD,TX,76063,2424,,817-728-3689,
209,17023258,Medina Community Library,Medina,TX,78055,,,830-589-2825,
210,17022317,Meridian Public Library,Meridian,TX,76665,,,254-435-9100,
211,17010369,NATALIA VETERANS MEMORIAL LIBRARY,NATALIA,TX,78059,0141,Natalialibraryfoundation@gmail.com,210-213-1990,
212,16057253,NEW WAVERLY PUBLIC LIBRARY,NEW WAVERLY,TX,77358,,,936-344-2198,
213,16068417,Penitas Public Library,Penitas,TX,78576,,library@cityofpenitas.com,956-310-8332,
214,140740,QUITMAN PUBLIC LIBRARY,QUITMAN,TX,75783,2533,quitmanlibrarian@gmail.com,903-763-4191,
215,141158,COLEMAN PUBLIC LIBRARY,COLEMAN,TX,76834,4202,,915-625-3043,
216,140861,Grapevine Public Library,GRAPEVINE,TX,76051,7657,chetterley@grapevinetexas.gov,817-410-3415,
217,17024247,Believe Schools,Indianapolis,IN,46202,,,317-692-1692,
218,124107,HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,SCHAGHTICOKE,NY,12154,,,518-753-4450,
219,129402,AVON LOCAL SCHOOL DISTRICT,AVON,OH,44011,1639,,440-937-4680,
220,129504,INDEPENDENCE SCHOOL DISTRICT,CLEVELAND,OH,44131,4813,,216-642-5850,
221,141657,ETHEL WHIPPLE MEM LIBRARY,LOS FRESNOS,TX,78566,3650,angie@los-fresnos.lib.tx.us,956-233-5330,
222,17017462,Rusk County Library System,HENDERSON,TX,75652,,,903-657-8557,
223,140889,White Settlement Public Library,FORT WORTH,TX,76108,1604,,817-367-0166,
224,142443,TELLURIDE SCHOOL DISTRICT R 1,TELLURIDE,CO,81435,,kolson@telluride.k12.co.us,970-728-6617,
225,140542,DALLAS INDEP SCHOOL DISTRICT,DALLAS,TX,75231,,adwhite@dallasisd.org,972-925-3776,
226,209459,CAMP WOOD PUBLIC LIBRARY,CAMP WOOD,TX,78833,,cwpublib@swtexas.net,830-597-3208,
227,141244,COLDSPRING AREA PUBLIC LIBRARY,COLDSPRING,TX,77331,,capl@eastex.net,409-653-3104,
228,148053,DICKENS COUNTY-SPUR PUBLIC LIBRARY,SPUR,TX,79370,2511,,806-271-3714,
229,141703,ELGIN PUBLIC LIBRARY,ELGIN,TX,78621,2625,heather.fowler@elgintexas.gov,512-281-5678,
230,141647,ELSA PUBLIC LIBRARY,ELSA,TX,78543,,hilda@elsa.lib.tx.us,956-262-3061,
231,140588,Honey Grove Library & Learning Center,HONEY GROVE,TX,75446,1801,sherwood@honeygrove.org,903-378-2206,
232,141712,Johnson City Library,JOHNSON CITY,TX,78636,,director@jclibrarysite.org,830-868-4469,
233,142100,MARFA PUBLIC LIBRARY,MARFA,TX,79843,,,432-729-4631,
234,17034019,Maud Public Library,MAUD,TX,75567,,,903-585-2121,
235,142035,WINTERS PUBLIC LIBRARY,WINTERS,TX,79567,,,915-754-4251,
236,143519,A B C UNIFIED SCHOOL DISTRICT,CERRITOS,CA,90703,1838,,562-926-5566,
237,143676,DESERT SANDS UNIF SCH DISTRICT,LA QUINTA,CA,92253,,,760-771-8577,
238,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",SAN LUIS OBISPO,CA,93401,,administrator@capslo.org,805-544-4355,
239,145121,PINE EAGLE SCHOOL DISTRICT 61,HALFWAY,OR,97834,,lbutler@pineeaglesd.org,541-742-2550,
240,220678,KINGMAN UNIFIED SCHOOL DISTRICT #20,KINGMAN,AZ,86401,,,928-753-5678,
241,144287,SAN BENITO HIGH SCHOOL DIST,HOLLISTER,CA,95023,4708,erate@adtechgroup.com,831-637-5831,150
242,156807,POWHATAN COUNTY PUBLIC LIBRARY,POWHATAN,VA,23139,5748,cmcpherson@powhatanlibrary.net,804-598-5670,
243,123880,AMITYVILLE UN FREE SCHOOL DIST,AMITYVILLE,NY,11701,,,631-598-6500,
244,127848,MANATEE COUNTY SCHOOL DISTRICT,BRADENTON,FL,34205,,hansen2s@manateeschools.net,941-708-8770,41125
